index,pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_mass,st_rad,sy_dist,sy_vmag,rastr,decstr
191,TOI-1431 b,TOI-1431,Transit,2021,2.650237,16.701,991.62463,2370,7690,1.9,1.92,148.925,8.03,21h04m48.89s,+55d35m16.88s
192,TOI-1437 b,TOI-1437,Transit,2024,18.840942,2.24,9.6,,6008,1.1,1.17,103.297,9.173,17h04m33.30s,+56d50m33.18s
193,TOI-1439 b,TOI-1439,Transit,2024,27.644,4.243,38.5,748,5841,1.23,1.62,230.306,10.55,16h07m03.34s,+67d52m39.51s
194,TOI-1442 b,TOI-1442,Transit,2022,0.4090677,1.17,,1072,3330,0.29,0.31,41.1659,15.39,19h09m10.10s,+74d10m27.39s
195,TOI-1443 b,TOI-1443,Transit,2024,23.540678,2.304,30,521,5224,0.77,0.75,85.8034,10.675,19h49m35.68s,+76d08m21.04s
196,TOI-1444 b,TOI-1444,Transit,2021,0.4702743,1.418,3.58,2130,5460,0.95,0.91,125.463,10.936,20h21m53.98s,+70d56m37.34s
197,TOI-1448 b,TOI-1448,Transit,2024,8.112245,2.749,19.5,426,3412,0.37,0.38,73.3345,15.678,21h05m17.76s,+57d46m15.94s
198,TOI-1450 A b,TOI-1450 A,Transit,2024,2.0439274,1.13,1.258,722,3437,0.48,0.48,22.4467,12.28,19h07m24.98s,+59d05m11.85s
199,TOI-1451 b,TOI-1451,Transit,2024,16.537944,2.611,15.2,723,5801,1,1.02,91.9362,9.584,12h26m05.83s,+61d15m32.14s
200,TOI-1452 b,TOI-1452,Transit,2022,11.06201,1.672,4.82,326,3185,0.25,0.28,30.5212,14.354,19h20m41.75s,+73d11m42.39s
201,TOI-1467 b,TOI-1467,Transit,2024,5.97199,1.676,9,506,3776,0.45,0.46,37.4418,12.293,01h16m27.51s,+49d13m59.30s
202,TOI-1468 b,TOI-1468,Transit,2022,1.8805136,1.28,3.21,682,3496,0.34,0.34,24.7399,12.5,01h06m36.93s,+19d13m29.71s
203,TOI-1468 c,TOI-1468,Transit,2022,15.532482,2.064,6.64,338,3496,0.34,0.34,24.7399,12.5,01h06m36.93s,+19d13m29.71s
204,TOI-1470 b,TOI-1470,Transit,2023,2.527093,2.18,7.32,734,3709,0.47,0.47,51.9503,13.459,00h40m21.39s,+61d12m48.19s
205,TOI-1470 c,TOI-1470,Transit,2023,18.08816,2.47,7.24,373,3709,0.47,0.47,51.9503,13.459,00h40m21.39s,+61d12m48.19s
206,TOI-1472 b,TOI-1472,Transit,2024,6.36381,4.16,16.5,811,5133,0.92,0.84,121.84,11.302,00h56m27.42s,+48d38m15.06s
207,TOI-1478 b,TOI-1478,Transit,2021,10.180249,11.882,270.47333,918,5597,0.95,1.05,152.892,10.723,08h25m44.10s,-13d33m34.37s
208,TOI-150.01,TOI-150,Transit,2019,5.857487,14.067,797.7533,1404,6255,1.35,1.53,336.267,11.39,07h31m51.70s,-73d36m21.73s
209,TOI-1516 b,TOI-1516,Transit,2022,2.056014,15.244,1004.33777,,6520,1.14,1.14,247.054,10.858,22h40m20.31s,+69d30m13.43s
210,TOI-157 b,TOI-157,Transit,2020,2.0845435,14.415,375.0394,1588,5404,0.95,1.17,355.683,12.725,04h54m48.35s,-76d40m50.18s
211,TOI-1601 b,TOI-1601,Transit,2021,5.33175,14.199,387,1494,5982,1.51,2.19,336.608,10.66,02h33m26.78s,+41d00m48.36s
212,TOI-163 b,TOI-163,Transit,2019,4.231306,16.69,387.7526,1669,6495,1.44,1.65,411.719,11.467,05h19m04.38s,-71d53m43.90s
213,TOI-1634 b,TOI-1634,Transit,2021,0.9893455,1.773,7.57,,3472,0.45,0.45,35.2736,13.217,03h45m33.75s,+37d06m44.21s
214,TOI-1669 c,TOI-1669,Transit,2024,2.6800535,2.296,13,1285,5497,0.99,1.06,111.276,10.218,03h03m49.55s,+83d35m14.74s
